id,createdAt,distanciaMaxKm,distanciaMinKm,isActive,precioRango,serviceType,updatedAt
1,2026-06-05T04:09:54.371Z,2.99,0.00,true,3700.00,EXPRESS,1970-01-01T00:00:00.000Z
2,2026-06-05T04:10:54.005Z,4.99,3.00,true,4600.00,EXPRESS,1970-01-01T00:00:00.000Z
3,2026-06-05T04:11:19.839Z,6.99,5.00,true,6100.00,EXPRESS,1970-01-01T00:00:00.000Z
4,2026-06-05T04:11:46.278Z,9.99,7.00,true,8200.00,EXPRESS,1970-01-01T00:00:00.000Z
5,2026-06-05T04:14:07.352Z,9999.00,10.00,true,1000.00,EXPRESS,1970-01-01T00:00:00.000Z
6,2026-06-05T04:15:01.568Z,2.99,0.00,true,3000.00,LOW_COST,1970-01-01T00:00:00.000Z
7,2026-06-05T04:15:27.461Z,4.99,3.00,true,4000.00,LOW_COST,1970-01-01T00:00:00.000Z
8,2026-06-05T04:15:55.207Z,6.99,5.00,true,5300.00,LOW_COST,1970-01-01T00:00:00.000Z
9,2026-06-05T04:16:14.314Z,9.99,7.00,true,7000.00,LOW_COST,1970-01-01T00:00:00.000Z
10,2026-06-05T04:16:36.317Z,9999.00,10.00,true,700.00,LOW_COST,1970-01-01T00:00:00.000Z
